thirteen,527, 0$$1$$5$$9$$15$$23$$29$$31$$37$$49$$59$$62$$68$$78$$79$$93$$129$$134$$135$$141$$151$$157$$163$$165$$166$$179$$205$$210$$215$$219$$243$$253$$275$$308$$321$$327$$337$$343$$350$$355$$361$$371$$372$$373$$383$$392$$417$$421$$429$$431$$437$$486$$489$$502$$519$$522$$532$$541$$550$$557$$562$$569$$574$$582$$604$$613$$632$$652$$653$$656$$661$$663$$666$$673$$676$$678$$687$$690$$698$$705$$708$$709$$711$$727$$729$$730$$735$$745$$746$$749$$754$$765$$773$$786$$797$$804$$807$$822$$825$$831$$838$$843$$847$$849$$877$$880$$882$$889$$902$$903$$916$$922$$925$$926$$928$$930$$932$$937$$945$$957$$964$$975$$982$$990$$995$$1003$$1011$$1015$$1033$$1047$$1061$$1069$$1070$$1072$$1076$$1088$$1123$$1124$$1150$$1174$$1205$$1238$$1266$$1295$$1347$$1358$$1367$$1376$$1379$$1385$$1392$$1395$$1452$$1470$$1472$$1493$$1494$$1501$$1504$$1518$$1536$$1543$$1553$$1559$$1564$$1595$$1597$$1598$$1602$$1610$$1619$$1626$$1631$$1633$$1656$$1681$$1707$$1733$$1737$$1768$$1771$$1786$$1791$$1797$$1804$$1812$$1818$$1827$$1837$$1843$$1846$$1848$$1856$$1864$$1878$$1883$$1886$$1891$$1912$$1928$$1980$$1990$$1994$$2054$$2060$$2111$$2112$$2128$$2134$$2137$$2141$$2143$$2151$$2153$$2155$$2170$$2172$$2173$$2177$$2186$$2189$$2191$$2200$$2235$$2238$$2247$$2248$$2260$$2276$$2284$$2333$$2336$$2336$$2358$$2376$$2387$$2389$$2404$$2426$$2429$$2445$$2494$$2515$$2518$$2544$$2554$$2559$$2560$$2583$$2610$$2635$$2662$$2726$$2731$$2739$$2746$$2747$$2766$$2809$$2827$$2838$$2855$$2877$$2879$$2901$$2911$$2932$$2967$$2976$$2987$$2997$$3005$$3021$$3027$$3035$$3041$$3052$$3055$$3066$$3078$$3086$$3160$$3165$$3170$$3179$$3190$$3197$$3207$$3209$$3213$$3231$$3252$$3256$$3275$$3279$$3281$$3283$$3283$$3302$$3389$$3390$$3401$$3408$$3418$$3425$$3430$$3435$$3450$$3460$$3463$$3472$$3496$$3497$$3498$$3520$$3534$$3552$$3581$$3624$$3633$$3637$$3658$$3666$$3674$$3679$$3680$$3681$$3683$$3686$$3705$$3730$$3745$$3760$$3769$$3772$$3966$$3984$$3999$$4237$$4273$$4288$$4305$$4326$$4355$$4360$$4361$$4366$$4370$$4376$$4380$$4384$$4404$$4407$$4412$$4456$$4458$$4468$$4472$$4478$$4520$$4521$$4525$$4531$$4536$$4548$$4558$$4569$$4575$$4583$$4591$$4594$$4599$$4603$$4617$$4638$$4651$$4657$$4662$$4666$$4669$$4674$$4675$$4714$$4727$$4773$$4796$$4804$$4882$$4892$$4893$$4896$$4896$$4908$$4911$$4920$$4921$$4929$$4934$$4950$$4953$$4969$$4998$$5010$$5011$$5012$$5016$$5034$$5045$$5049$$5054$$5059$$5060$$5061$$5067$$5072$$5075$$5083$$5089$$5093$$5108$$5113$$5119$$5122$$5124$$5133$$5142$$5150$$5156$$5171$$5192$$5197$$5200$$5229$$5237$$5238$$5242$$5244$$5272$$5277$$5279$$5282$$5295$$5296$$5297$$5298$$5306$$5314$$5347$$5349$$5350$$5360$$5364$$5366$$5399$$5402$$5408$$5411$$5415$$5420$$5436$$5461$$5462$$5470$$5473$$5475$$5480$$5501$$5507$$5527$$5535$$5559$$5576$$5585$$5592$$5600$$5601$$5633$$5636$$5637$$5651$$5656$$5659$$5679$$5687$$5705$$5712$$5720$$5727$$5732$$5762$$5777$$5783$$5784$$5795$$5805$$5807$$5811$$5819$$5825$$5925$$6029$$6030$$6038$$6045$$6066$$6069$$6075$$6086$$6091$$6107$$6122$$6128$$6131$$6142$$6156$$6183$$6188$$6209$$6219$$6226$$6238$$6356$$6373$$6379$$6404$$6415$$6542
hostility,207, 150$$1480$$151$$153$$157$$158$$159$$164$$203$$250$$251$$254$$257$$261$$270$$406$$414$$414$$416$$417$$1077$$1437$$1438$$1439$$1439$$1449$$1961$$1970$$1971$$1977$$3064$$3064$$3066$$3161$$3165$$3175$$3183$$3185$$3206$$3213$$3216$$3220$$3229$$3388$$3392$$3397$$3402$$3410$$3413$$3421$$3430$$3432$$3440$$3451$$3462$$3467$$3497$$3525$$3536$$3541$$3543$$3554$$3581$$3583$$3587$$3625$$3627$$3637$$3657$$3661$$3668$$3670$$3679$$3681$$3685$$4495$$4496$$4509$$4586$$4781$$4795$$4801$$4804$$4823$$4886$$4889$$4890$$4891$$4900$$4906$$4910$$4912$$4917$$4922$$4924$$4930$$4960$$4968$$4981$$4984$$4986$$4997$$5001$$5002$$5006$$5010$$5015$$5039$$5060$$5069$$5102$$5106$$5107$$5107$$5108$$5121$$5122$$5123$$5132$$5140$$5155$$5159$$5161$$5163$$5164$$5166$$5169$$5185$$5202$$5203$$5238$$5243$$5275$$5276$$5278$$5280$$5296$$5301$$5311$$5337$$5344$$5345$$5346$$5348$$5350$$5365$$5372$$5379$$5384$$5406$$5410$$5417$$5424$$5428$$5464$$5465$$5470$$5472$$5479$$5501$$5504$$5532$$5570$$5578$$5591$$5640$$5680$$5682$$5718$$5721$$5723$$5728$$5739$$5756$$5760$$5785$$5801$$5820$$5822$$5825$$5827$$5833$$5835$$5862$$5924$$5950$$5988$$6025$$6027$$6030$$6049$$6057$$6058$$6065$$6067$$6074$$6082$$6085$$6089$$6105$$6113$$6126$$6130$$6132$$6159$$6177$$6258
prettiness,100, 2324$$2334$$2390$$2396$$2420$$2426$$2434$$2509$$2537$$2541$$2544$$2546$$2554$$2555$$2565$$2596$$2613$$2619$$2624$$2633$$2655$$2678$$2702$$2766$$2790$$2798$$2847$$2875$$2877$$2880$$2886$$2903$$2924$$2930$$2933$$2937$$2970$$2983$$2996$$3021$$3055$$3086$$3132$$3158$$3232$$3242$$3306$$3337$$3389$$3412$$3417$$3466$$3492$$3498$$3519$$3527$$3536$$3585$$3614$$3626$$3764$$3975$$3986$$3998$$4238$$4241$$4243$$4262$$4280$$4287$$4289$$4313$$4323$$4331$$4341$$4347$$4357$$4378$$4394$$4491$$4586$$4783$$4786$$4886$$5363$$5821$$5824$$5828$$5862$$5886$$5891$$5969$$5970$$5971$$5972$$6166$$6167$$6169$$6173$$6322
telescreen,92, 16$$29$$30$$37$$63$$74$$76$$79$$113$$134$$162$$168$$185$$190$$332$$393$$394$$422$$433$$437$$467$$520$$532$$623$$653$$666$$707$$722$$739$$840$$1017$$1035$$1044$$1098$$1121$$1377$$1400$$1401$$1402$$1612$$1830$$1944$$1959$$1974$$2015$$2049$$2067$$2080$$2096$$2541$$2755$$2995$$3030$$3205$$3207$$3375$$3387$$3413$$3428$$3490$$3682$$3737$$3773$$3968$$4096$$4340$$4404$$4427$$4434$$4445$$4526$$4529$$4568$$4571$$4619$$4653$$4683$$4756$$4774$$4798$$5886$$6188$$6218$$6233$$6279$$6334$$6344$$6346$$6355$$6400$$6402$$6412
unintelligible,89, 44$$3248$$6597$$45$$57$$45$$45$$57$$107$$184$$184$$208$$444$$591$$662$$662$$722$$726$$728$$731$$802$$803$$830$$853$$875$$882$$888$$891$$901$$901$$908$$942$$1102$$1173$$1459$$2603$$2614$$3145$$3168$$3169$$3189$$3407$$3875$$4112$$4149$$4150$$4154$$4162$$4166$$4193$$5941$$6348$$6430$$6430$$6431$$6433$$6434$$6435$$6437$$6438$$6442$$6445$$6446$$6446$$6446$$6452$$6455$$6459$$6477$$6511$$6513$$6515$$6525$$6531$$6546$$6554$$6565$$6566$$6569$$6580$$6585$$6586$$6590$$6592$$6594$$6598$$6598$$6604$$6612
populous,63, 40$$40$$45$$178$$189$$433$$436$$572$$574$$577$$577$$581$$582$$702$$722$$1025$$1239$$1411$$1545$$1840$$2104$$3080$$3089$$3700$$3701$$3718$$3738$$3738$$3780$$3784$$3799$$3813$$3870$$3874$$3908$$3910$$3914$$3919$$3920$$3944$$3948$$4027$$4069$$4101$$4110$$4111$$4145$$4945$$4946$$4949$$5313$$5315$$5315$$5319$$5322$$5550$$5909$$5910$$6192$$6192$$6196$$6249$$6430
prole,54, 129$$129$$129$$837$$904$$905$$1152$$1160$$1238$$1239$$1244$$1256$$1271$$1273$$1274$$1282$$1286$$1288$$1292$$1294$$1326$$1463$$1500$$1502$$1515$$1538$$1539$$1546$$1563$$1571$$1607$$1608$$1762$$1839$$2190$$2260$$2579$$2752$$2876$$2998$$3003$$3015$$3327$$3329$$3330$$3334$$3856$$4103$$4104$$4217$$4302$$4304$$4309$$4317
fro,46, 441$$711$$1321$$2747$$2799$$2839$$3395$$3541$$3573$$3985$$4115$$4214$$4278$$5274$$6021$$442$$443$$614$$730$$774$$785$$901$$901$$936$$950$$3145$$3444$$3876$$3919$$3927$$4027$$4048$$4073$$4148$$4155$$4178$$4197$$4856$$6430$$6437$$6438$$6492$$6512$$6563$$6584$$6608
bristle,41, 169$$1558$$171$$3471$$3769$$171$$174$$175$$180$$183$$185$$186$$188$$190$$195$$209$$215$$216$$217$$227$$390$$935$$955$$1340$$2894$$3020$$3069$$3072$$3073$$3471$$3479$$3582$$3592$$3637$$3654$$3723$$3769$$4303$$4865$$5433$$5647
dictatorship,40, 184$$5496$$5496$$184$$189$$572$$574$$577$$577$$581$$582$$1344$$1411$$2231$$3079$$3089$$3091$$3095$$3700$$3700$$3702$$3704$$3741$$3758$$3780$$3783$$3799$$3813$$3813$$3908$$3914$$3919$$4027$$4174$$4300$$4958$$5316$$5544$$6192$$6192
