A-bomb,A-bombs
Abbasid,Abbasids
Abraham,Abrahams
Abyssinian,Abyssinians
Acadian,Acadians
Achaean,Achaeans
Adam,Adams
Addressograph,Addressographs
Adonai,Adonais
Adventist,Adventists
African,Africans
Afrikaner,Afrikaners
Afro-American,Afro-Americans
Airedale,Airedales
Akela,Akelas
Alabaman,Alabamans
Alabamian,Alabamians
Alaskan,Alaskans
Albanian,Albanians
Alcaic,Alcaics
Aleut,Aleuts
Algerian,Algerians
Algonkian,Algonkians
Algonkin,Algonkins
Algonquian,Algonquians
Algonquin,Algonquins
Almagest,Almagests
Alsatian,Alsatians
Amati,Amatis
America,Americas
American,Americans
Americanism,Americanisms
Amerind,Amerinds
Amerindian,Amerindians
Anasazi,Anasazis
Andorran,Andorrans
Andrew,Andrews
Anglican,Anglicans
Anglo-Catholic,Anglo-Catholics
Anglo-Saxon,Anglo-Saxons
Antiguan,Antiguans
Appaloosa,Appaloosas
Arab,Arabs
Arabian,Arabians
Arabist,Arabists
Arawakan,Arawakans
Arcadian,Arcadians
Argentine,Argentines
Arizonan,Arizonans
Arizonian,Arizonians
Arkansan,Arkansans
Armenian,Armenians
Aryan,Aryans
Asian,Asians
Assamese,Assamese
Assyrian,Assyrians
Athenian,Athenians
Auslese,Auslese
Aussie,Aussies
Australian,Australians
Australoid,Australoids
Austrian,Austrians
Aymara,Aymaras
Azerbaijani,Azerbaijanis
Aztec,Aztecs
Bab,Babs
Babi,Babis
Babist,Babists
Baby-bouncer,Baby-bouncers
Babylonian,Babylonians
Bacardi,Bacardis
Baedeker,Baedekers
Bahamian,Bahamians
Balinese,Balinese
Balthazar,Balthazars
Bantu,Bantus
Barbadian,Barbadians
Barbour,Barbours
Barotse,Barotses
Bedlington,Bedlingtons
Belgian,Belgians
Benedictine,Benedictines
Bengal,Bengals
Bengalese,Bengalese
Bengali,Bengalis
Berber,Berbers
Berliner,Berliners
Bermuda,Bermudas
Bermudan,Bermudans
Bermudian,Bermudians
Biafran,Biafrans
Bihari,Biharis
Blackshirt,Blackshirts
Blois,Blois
Boer,Boers
Bohemian,Bohemians
Bolivian,Bolivians
Bolshevik,Bolsheviks
Borghese,Borghese
Bradbury,Bradburys
Brahmin,Brahmins
Braillist,Braillists
Bramley,Bramleys
Brazilian,Brazilians
Britisher,Britishers
Briton,Britons
Brummie,Brummies
Buddhist,Buddhists
Bulgarian,Bulgarians
